
RN,ADVERTISER_TYPE,BALCONY_GARDEN_TERRACE,DESCRIPTION,HEATING,IS_FOR_SALE,LIGHTING,LOCATION,PRICE,REMOTE_SUPPORT,RENT_SALE,SURFACE,TIMESTAMP,TITLE,URL,FORM_OF_PROPERTY,NO_OF_ROOMS,PARKING_SPACE,PRICE_NEW,SURFACE_NEW,SUBURB,CITY,COUNTRY,TITLE_ENG,APARTMENT_FLAG
10000,business,Ask,"OpisPolecam na sprzedaż inwestycyjne 3 - pokojowe mieszkanie 67,49 m2 zbalkonem na prestiżowym i bezpiecznym osiedlu Sienkiewicza RESIDENCE we Wrocławiu | ŚRÓDMIEŚCIE.Idealne dla singla, pary i pod inwestycję.OGRZEWANIE MIEJSKIE.Mieszkanie usytuowane jest na l piętrze sześciopiętrowego budynku, który zostanie oddany do użytku w ll kwartale 2024 r.Deweloper przewidział również komórki lokatorskie. W inwestycji będą dostępne miejsca postojowe naziemne i podziemne.Teren osiedla jest monitorowany i strzeżony przez firmęochroniarską.Mieszkanie 67,49 m2 składa się z : - salonu z aneksem kuchennym 35,8 m2 - pokój 6,96 m2 z wyjściem na balkon - sypialnia 11,1 m2 z wyjściem na balkon - łazienka 6,80 m2 - hall 6,83 m2BALKON 4,3 m2Wysokość mieszkania 3,3 mLOKALIZACJA- Ogród Botaniczny - 1 minuta pieszo (40 m)- Ostrów Tumski - 8 minut pieszo (750 m)- Rynek- 20 minut pieszo (1,6 km)OTOCZENIE- nowa infrastruktura handlowo-usługowa i rekreacyjna- restauracje, kawiarnie, piekarnie, cukiernie- komunikacja miejskaMiejsce postojowe na platformie (nie obowiązkowe): od 32000.00 PLN do 32000.00 PLNCena brutto komórki lokatorskiej: od 4600.00 PLNSerdecznie zapraszam do kontaktu i na prezentację!Magdalena GdulaDoradca ds. Nieruchomościtel. 882 800 478WRE NIERUCHOMOŚCIul. Piłsudskiego 91a50-019 WrocławUwaga! Prezentowane w serwisie oferty nie stanowią ofertyhandlowej w rozumieniu art. 66 Kodeksu Cywilnego i mogą byćnieaktualneNota prawnaOpis oferty zawarty na stronie internetowej sporządzany jest napodstawie oględzin nieruchomości oraz informacji uzyskanych odwłaściciela, może podlegać aktualizacji i nie stanowi oferty określonejw art. 66 i następnych K.C.",Ask,true,Ask,Longitude: 17.04808 | Latitude: 51.11714,"PLN 903,500.00",No,No,"67,50 m²",2023-01-20,3 pokojowe z balkonem | Świetna lokalizacja,https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-swietna-lokalizacja-ID4jAfi,,3,Ask,903500.00,67.5,,,,,apartment
10001,business,Balcony,"Oferujemy na sprzedaż przestronne 3 pokojowe mieszkanie z oddzielną kuchnią zlokalizowane w Podgórzu przy ul. Rydygiera.
Nieruchomość o powierzchni 69,63 m2 mieści się na 3 piętrze zadbanego bloku z 1985 roku.
Rozkład:

3 pokoje
jasna, oddzielna kuchnia
łazienka
WC
przedpokój
balkon

Do mieszkania przynależy piwnica.
Mieszkanie jest w stanie do odświeżenia. Nowe okna PCV, w pokojach na podłodze panele.
Ekspozycja okien południowy wschód.
Kuchnia umeblowana i wyposażona w sprzęt AGD.
Dzięki środkowemu usytuowaniu, mieszkanie jest ciepłe. Ogrzewanie miejskie.
Niski czynsz (700 zł) zawiera zaliczki na CO, wodę, fundusz remontowy, utrzymanie części wspólnych.
Świetna lokalizacja, pełna infrastruktura, sklepy, przedszkole, szkoła, plac zabaw, obiekty usługowe oraz doskonałe połączenie komunikacyjne z innymi częściami miasta.
Pomagamy w uzyskaniu kredytu.
Zapraszamy na prezentację.
",urban,true,Ask,Longitude: 20.0085459 | Latitude: 50.0060411,"PLN 560,000.00",No,No,70 m²,2023-01-20,"3 pokojowe z balkonem, 70 m2 ul. Rydygiera",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-70-m2-ul-rydygiera-ID4fqqi,,3,Ask,560000.00,70,,,,,apartment
10002,business,Balcony,"Wykończone, 3 pokojowe mieszkanie z balkonem, na 3 piętrze z windą na Osiedlu Piastów 58, Nowa Huta.

Mieszkanie jest po remoncie, podczas którego została wymieniona instalacja elektryczna i wodno-kanalizacyjna oraz została usunięta instalacja gazowa. Okna zostały wymienione na nowe. Zdjęcia przedstawiają stan faktyczny mieszkania.

Mieszkanie o metrażu 43,69 m2 składające się z salonu z wyjściem na balkon, dwóch osobnych sypialni, łazienki z prysznicem i przedpokoju. Mieszkanie jest narożne. Znajduje się na 3/13 piętrze z windą. Posiada balkon z niezabudowanym widokiem. Ekspozycja południowo-wschodnia. Balkon znajduje się od strony południowej.

Ogrzewanie i woda z sieci miejskiej.
Czynsz administracyjny około 400 zł miesięcznie.
Do mieszkania przynależy piwnica około 3 m2.
Budynek z lat 70. Elewacja oraz klatka schodowa są w stanie bardzo dobrym.

Parking ogólnodostępny na ulicy. Zielona okolica. W pobliżu sklepy (Lidl, Biedronka), restauracje, apteka oraz plac zabaw dla dzieci.
Lokalizacja doskonale skomunikowana. W odległości około 260 m znajduje się Pętla tramwajowa os. Piastów (linie nr 21, 52, 64) oraz przystanek autobusowy (linie nr 159, 193, 644).
Dojazd do centrum komunikacją miejską zajmuje około 30 min. Dojazd w każdą stronę Krakowa.

Pełna własność z KW, mieszkanie bez obciążeń, możliwość kredytowania.

Cena: 489 000 zł - cena zawiera zabudowę kuchenną oraz wyposażoną łazienkę (bez sprzętów AGD i mebli ruchomych).

Zapraszam do kontaktu! Tel. 530383114",urban,true,Ask,Longitude: 20.0167074 | Latitude: 50.0996061,"PLN 489,000.00",Yes,400 zł,"43,69 m²",2023-01-20,"3 pokojowe z balkonem, Osiedle Piastów, Nowa Huta",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-osiedle-piastow-nowa-huta-ID4joeC,full ownership,3,Ask,489000.00,43.69,,,,,apartment
10003,business,Balcony,"Dzień Dobry,Oferuję Państwu do sprzedaży nowe mieszkanie 3- pokojowe o powierzchni 59,22 m2 na pierwszym piętrze w dzielnicy Podgórze, przy zbiegu ul. Lipskiej i ul. PrzewózMIESZKANIE:• Pokój dzienny/aneks kuchenny• Przedpokój• Pokój• Pokój • Łazienka• Balkon LOKALIZACJA:Inwestycja znajduje się tuż przy ulicy Lipskiej, w sąsiedztwie Pętli Mały Płaszów. Inwestycja doskonale skomunikowana z resztą miasta ( autobusy dzienne i nocne, tramwaje, Park and Ride.) Wystarczy chwila, aby z zacisznego mieszkania przenieść się do samego centrum miasta, Rynku, Dworca Głównego, Kazimierza, Zabłocia lub poza miasto. W okolicy liczne sklepy i Zalew Bagry. To modne i ponadczasowe miejsce.ATUTY INWESTYCJI:Większość mieszkań posiada dozwolone do zmian ściany wewnętrzne, które można przeprojektować według własnych potrzeb. Inwestycję tworzą dwa bliźniacze sześciopiętrowe budynki. Oba w kształcie litery „L” o eleganckiej i nowoczesnej architekturze. To przestrzeń, która zapewni prywatność i możliwość relaksu na terenie inwestycji. Własny paczkomat przy budynku, ładowarki aut elektrycznych, system jednego klucza, windy, monitoring, video-domofony, platformowy parking podziemny, komórki lokatorskie. Dzięki temu w tej inwestycji będzie się żyło bezpiecznie i wygodnie.KONTAKT:Zapraszam na prezentacje mieszkania.Możliwość kontaktu w każdy dzień tygodniaB10",Ask,true,Ask,Longitude: 19.99052 | Latitude: 50.04251,"PLN 615,888.00",No,No,"59,22 m²",2023-01-20,"3 pokojowe z balkonem, Płaszów - 61,94m2",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-plaszow-61-94m2-ID4jImx,,3,Ask,615888.00,59.22,,,,,apartment
10004,business,Balcony,"Dzień Dobry,Oferuję Państwu do sprzedaży nowe mieszkanie 3- pokojowe o powierzchni 68,07 m2  na pierwszym piętrze w dzielnicy  Podgórze, przy zbiegu ul. Lipskiej i ul. PrzewózMIESZKANIE:• Pokój dzienny/aneks kuchenny• Przedpokój• Pokój• Pokój • Łazienka• Balkon LOKALIZACJA:Inwestycja znajduje się tuż przy ulicy Lipskiej, w sąsiedztwie Pętli Mały Płaszów. Inwestycja doskonale skomunikowana z resztą miasta ( autobusy dzienne i nocne, tramwaje, Park and Ride.) Wystarczy chwila, aby z zacisznego mieszkania przenieść się do samego centrum miasta, Rynku, Dworca Głównego, Kazimierza, Zabłocia lub poza miasto. W okolicy liczne sklepy i Zalew Bagry. To modne i ponadczasowe miejsce. ATUTY INWESTYCJI:Większość mieszkań posiada dozwolone do zmian ściany wewnętrzne, które można przeprojektować według własnych potrzeb. Inwestycję tworzą dwa bliźniacze sześciopiętrowe budynki. Oba w kształcie litery „L” o eleganckiej i nowoczesnej architekturze. To przestrzeń, która zapewni prywatność i możliwość relaksu na terenie inwestycji. Własny paczkomat przy budynku, ładowarki aut elektrycznych, system jednego klucza, windy, monitoring, video-domofony, platformowy parking podziemny, komórki lokatorskie. Dzięki temu w tej inwestycji będzie się żyło bezpiecznie i wygodnie. KONTAKT:Zapraszam na prezentacje mieszkania.Możliwość kontaktu w każdy dzień tygodniaW ofercie również inne inwestycje na terenie całego KrakowaA10",urban,true,Ask,Longitude: 19.99567 | Latitude: 50.04176,"PLN 694,314.00",No,No,"68,07 m²",2023-01-20,"3 pokojowe z balkonem, Płaszów - 68,06 m2",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-plaszow-68-06-m2-ID4jDZi,full ownership,3,garaż/miejsce parkingowe,694314.00,68.07,,,,,apartment
10005,business,Balcony,"Dzień Dobry,Oferuję Państwu do sprzedaży nowe mieszkanie 3- pokojowe o powierzchni 68,06 m2  na  pierwszym  piętrze w dzielnicy  Podgórze, przy zbiegu ul. Lipskiej i ul. Przewóz.MIESZKANIE:• Pokój dzienny/aneks kuchenny• Przedpokój• Pokój• Pokój • Łazienka• Balkon LOKALIZACJA:Inwestycja znajduje się tuż przy ulicy Lipskiej, w sąsiedztwie Pętli Mały Płaszów. Inwestycja doskonale skomunikowana z resztą miasta ( autobusy dzienne i nocne, tramwaje, Park and Ride.) Wystarczy chwila, aby z zacisznego mieszkania przenieść się do samego centrum miasta, Rynku, Dworca Głównego, Kazimierza, Zabłocia lub poza miasto. W okolicy liczne sklepy i Zalew Bagry. To modne i ponadczasowe miejsce. ATUTY INWESTYCJI:Większość mieszkań posiada dozwolone do zmian ściany wewnętrzne, które można przeprojektować według własnych potrzeb. Inwestycję tworzą dwa bliźniacze sześciopiętrowe budynki. Oba w kształcie litery „L” o eleganckiej i nowoczesnej architekturze. To przestrzeń, która zapewni prywatność i możliwość relaksu na terenie inwestycji. Własny paczkomat przy budynku, ładowarki aut elektrycznych, system jednego klucza, windy, monitoring, video-domofony, platformowy parking podziemny, komórki lokatorskie. Dzięki temu w tej inwestycji będzie się żyło bezpiecznie i wygodnie. KONTAKT:Zapraszam na prezentacje mieszkania.Możliwość kontaktu w każdy dzień tygodniaW ofercie również inne inwestycje na terenie całego KrakowaA 59",urban,true,Ask,Longitude: 19.99567 | Latitude: 50.04176,"PLN 687,406.00",No,No,"68,06 m²",2023-01-20,"3 pokojowe z balkonem, Płaszów, dobra komunikacja",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-plaszow-dobra-komunikacja-ID4iFYC,full ownership,3,garaż/miejsce parkingowe,687406.00,68.06,Grzegórzki,Kraków,Polska,2 rooms with an annex immediately Grzegórzki ul. Dąbska,apartment
10006,business,Balcony,"Biuro Chcę Tu Mieszkać oferuje na sprzedaż wykończone i wyposażone, bardzo jasne, 3 pokojowe mieszkanie z balkonem przy ul. Racławickiej, Stara Krowodrza.Zdjęcia przedstawiają stan faktyczny mieszkania. Układ przedstawiono na rzucie. Bardzo funkcjonalne, jasne i wykończone mieszkanie o łącznej powierzchni 51,5 m2. Mieszkanie posiada balkon (około 2 m2). Usytuowane jest na 7 piętrze, 8 piętrowego, odnowionego budynku z windą przy ulicy Racławickiej. Lokal jest bezpośrednio po remoncie (wymieniono okna, instalację elektryczną i hydrauliczną, parapety, drzwi wewnętrzne i drzwi zewnętrzne, na ścianach i sufitach położono gładzie). W skład mieszkania wchodzą dwie sypialnie, pokój dzienny z aneksem kuchennym, łazienka oraz przedpokój. Do mieszkania przynależy balkon i piwnica.Budynek jest w doskonałej kondycji, zarówno na zewnątrz jak i wewnątrz. Podczas remontu została wymieniona winda, pomalowana klatka schodowa oraz odnowiona elewacja.Ulica Racławicka to cicha ulica w samym centrum Krakowa, w pobliżu ulicy Królewskiej - jednej z najbardziej znanych ulic Krakowa. W pobliżu mieszkania znajduje się wiele tras rowerowych oraz terenów zielonych. Mieszkanie znajduje się w pobliżu Rynku Głównego i Alei (głównej arterii Krakowa łączącej północ z południem). Ponadto niedaleko znajdują się: przychodnia, poczta, apteka, sklep spożywczy oraz bank.Okolica jest bardzo dobrze skomunikowana. W bezpośrednim sąsiedztwie mieszkania znajduje się przystanek autobusowy (50 m). W odległości kilku przystanków znajduje się Rynek Główny oraz ulica Królewska.Cena: 749 000 zł (cena zawiera meble stałe oraz niektóre meble ruchome, sprzęty AGD nie są wliczone w cenę mieszkania). KontaktTel. 530 383 114",urban,true,Ask,Longitude: 19.9208145 | Latitude: 50.0778829,"PLN 749,000.00",Yes,No,"51,50 m²",2023-01-20,"3 pokojowe z balkonem, ul. Racławicka, Krowodrza",https://www.otodom.pl/pl/oferta/3-pokojowe-z-balkonem-ul-raclawicka-krowodrza-ID4jGXh,full ownership,3,garaż/miejsce parkingowe,749000.00,51.5,,,,,apartment
10007,business,Balcony,"Kraków - Kliny, ul. Mieczykowa

3 POKOJOWE MIESZKANIE Z DUŻYM BALKONEM. ZAMONTOWANA KLIMATYZACJA. SPOKOJNE, OGRODZONE OSIEDLE - IDEALNE DLA RODZINY. OPCJA DOKUPIENIA MIEJSCA PARKINGOWEGO.

Mieszkanie na sprzedaż o powierzchni 64,37m2 położone na trzecim piętrze w trzypiętrowym bloku z 2009r, składające się z przedpokoju, osobnej jasnej kuchni, 3 nieprzechodnich pokoi, łazienki z WC, osobnego WC oraz przynależnego do mieszkania balkonu (ok. 8m2)
Opcjonalnie do dokupienia miejsce parkingowe w garażu podziemnym w cenie 40 000zł - osobna księga wieczysta.

Stan mieszkania: IDEALNY -Mieszkanie w stanie do wejścia (niedawno zostało odświeżone). Na podłogach w pokojach deska barlinecka, w pozostałych pomieszczeniach płytki. Możliwość pozostawienia pełnego umeblowania mieszkania wraz ze sprzętami RTV i AGD (m. in. pralko-suszarka, zmywarka, TV). W mieszkaniu zamontowana klimatyzacja. Ponadto ogromnym atutem jest zabudowana wanna z hydromasażem w łazience.
- bardzo dobry układ mieszkania
- nieprzechodnie pokoje oraz duża jasna kuchnia, dzięki czemu będzie idealne dla rodziny lub osób ceniących sobie przestrzeń
- dwustronna ekspozycja płn - płd - mieszkanie jest jasne i słoneczne
- niskie koszty utrzymania (czynsz przy 2-óch zgłoszonych osobach wynosi 480zł + prąd wg zużycia)
- przynależny duży balkon może być dodatkowym miejscem do spędzania czasu wiosną lub latem
- mieszkanie jest wolne od zaraz
- teren bloku jest ogrodzony i monitorowany, ze szlabanem na pilot, co dodatkowo zwiększa komfort i bezpieczeństwo mieszkańców
- przed budynkiem znajdują się również ogólnodostępne miejsca postojowe dla mieszkańców

Osiedle Kliny- Zacisze: Rozwijająca się okolica z dużym potencjałem. Bliskość autostrady a4 pozwala na swobodny wyjazd poza miasto lub w inne części Krakowa. W niedalekiej odległości znajduje się szkoła, przedszkola oraz żłobki, a także sklepy, restauracje i punkty handlowo usługowe, dzięki czemu okolica jest przyjazna zarówno dla studentów, rodzin z dziećmi oraz osób pracujących.

Komunikacja:4 min przystanek Kliny Zacisze (136, 151, 194, 451, 608)

OFERTA NA WYŁĄCZNOŚĆ

Kontakt:Agencja Nieruchomości Prohome Estateul. Wincentego Danka 8/2U31-229 Krakówtel.: 537 - 978 - 098

Zgodnie z ustawą o gospodarce nieruchomościami Rozdział 2, Art. 180, pkt 3. przed oglądnięciem nieruchomości należy podpisać standardową umowę pośrednictwa w kupnie (USTAWA z dnia 21 sierpnia 1997 r. O gospodarce nieruchomościami).

Zakaz kopiowania tekstów i zdjęć z naszych ogłoszeń. Wszelkie kradzieże zdjęć i treści ogłoszeń będą zgłaszane do odpowiednich służb. Przypominamy: Zgodnie z ustawą z 4 lutego 1994 o prawie autorskim i prawach pokrewnych (D. U. 1994/24/83) za naruszenie praw własności poprzez kopiowanie, powielanie i rozpowszechnianie przedstawionych treści bez zgody właściciela grozi grzywna oraz kara pozbawienia wolności od 6 m-cy do lat 5 (art. 115.1).",boiler_room,true,Ask,Longitude: 19.9005041 | Latitude: 49.9982069,"PLN 675,000.00",Yes,480 zł,65 m²,2023-01-20,"3 pokojowe z dużym balkonem, spokojna okolica!",https://www.otodom.pl/pl/oferta/3-pokojowe-z-duzym-balkonem-spokojna-okolica-ID4jnpB,full ownership,3,garaż/miejsce parkingowe,675000.00,65,,,,,apartment
10008,business,Ask,"Brak prowizji - Brak podatku PCCBrak dodatkowych opłatZewnętrzne biuro sprzedaży dewelopera oferuje do sprzedaży 3 pokojowe mieszkanie na parterze o powierzchni 81,8 m2 z ogrodem o powierzchni 189,4m2Termin realizacji IV kwartał 2023 r.Dostępne różne mieszkania w różnych rozkładach i metrażach.Cena za mieszkanie w standardzie deweloperskim.W cenie 2 miejsca postojowe naziemne.Darmowa pomoc eksperta finansowego w uzyskaniu kredytu (oferta ponad 20 banków w jednym miejscu).Atrakcyjne pakiety wykończeń mieszkań - zapytaj o szczegółyJesteśmy zewnętrznym biurem sprzedaży dewelopera - Brak prowizji, Brak podatku PCCZapraszamy do kontaktu chętnie odpowiemy na wszystkie pytania.",Ask,true,Ask,Longitude: 21.182 | Latitude: 52.16148,"PLN 750,000.00",No,No,"81,80 m²",2023-01-20,"3 pokojowe z dużym ogrodem 189,4 m2",https://www.otodom.pl/pl/oferta/3-pokojowe-z-duzym-ogrodem-189-4-m2-ID4jdbI,full ownership,3,garaż/miejsce parkingowe,750000.00,81.8,,Łódź,Polska,"2 rooms with annex, Łódź Chojny, closed housing estate",apartment
10009,business,Balcony,"Oferujemy na sprzedaż 3 pokojowe mieszkanie zlokalizowane w Krakowie na nowym osiedlu osiedlu Kliny przy ul. Geremka.
Nieruchomość o powierzchni 43,52 m2 położona jest na 1 piętrze/3 w bloku z cegły i składa się z:

    sypialni ( 9 m2 ekspozycja północna )
    sypialni ( 7 m2 ekspozycja południowa )
    pokoju dziennego z aneksem kuchennym (26 m2 ekspozycja północna )
    łazienki z WC z wanną (3,5m2)
    przedpokoju 4 m2
    dwóch balkonów 4 m2 i 5 m2 

DODATKOWO:

    komórka lokatorska (¼ udziału)
    1 miejsce postojowe w garaży podziemnym oraz 2 miejsce przed blokiem, (dodatkowo płatne).

Mieszkanie ładnie i w pełni urządzone, gotowe do zamieszkania.
Na podłodze w pokojach bambusowa deska w przedpokoju i łazience gres. Okna PCV.
W cenie zostaje całe wyposażenie kuchni i łazienki: meble na wymiar, lodówka, zmywarka, piekarnik, płyta indukcyjna, okap.
Budynek ocieplony z 2015 roku bez windy położony wśród zieleni, sklepy, place zabaw.
Ogrzewanie i ciepła woda z własnej kotłowni gazowej.
Czynsz 480 zł dla 3 osób (zawiera ogrzewanie zaliczkowo ciepłą i zimna wodę , utrzymanie części wspólnych, śmieci, fundusz remontowy.
Liczniki: prąd (150 zł) ciepła i zimna woda, Internet 60 zł.
Dobra lokalizacja, szybki dojazd do obwodnicy południowej Krakowa i szybki wyjazd w góry np do Zakopanego.
Ze względu na budowę własnego domu, termin opuszczenia mieszkania jest zaplanowany na (luty-marzec) 2023 roku. Preferowana umowa przedwstępna z zadatkiem.
Zapraszam na prezentację.",gas,true,Ask,Longitude: 19.8927363 | Latitude: 50.003525,"PLN 499,000.00",No,480 zł,44 m²,2023-01-20,"3 pokojowe z dwoma balkonami Kliny, ul. Geremka",https://www.otodom.pl/pl/oferta/3-pokojowe-z-dwoma-balkonami-kliny-ul-geremka-ID4hBhH,,3,garaż/miejsce parkingowe,499000.00,44,Podgórze,Kraków,Polska,2 rooms with an annex. View of the park. To the entrance.,apartment
